DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
3,4,AS,19930,AS,N365VA,1027,12892,1289208,LAX,14771,1477104,SFO,935.0,0.0,0900-0959,1107.0,0.0,0.0,0.0,337.0,
2,3,HA,19690,HA,N491HA,397,12758,1275804,KOA,12173,1217305,HNL,1817.0,0.0,1800-1859,1903.0,0.0,0.0,0.0,163.0,
14,1,DL,19790,DL,N920AT,2466,11433,1143302,DTW,13495,1349505,MSY,843.0,0.0,0800-0859,1023.0,0.0,0.0,0.0,926.0,
7,1,9E,20363,9E,N676CA,5235,12953,1295304,LGA,11193,1119302,CVG,645.0,0.0,0600-0659,840.0,0.0,0.0,0.0,585.0,
9,3,OO,20304,OO,N764SK,2958,14107,1410702,PHX,11695,1169502,FLG,1759.0,0.0,1800-1859,1849.0,0.0,0.0,0.0,119.0,
27,7,MQ,20398,MQ,N676AE,3965,13930,1393007,ORD,10980,1098002,CHA,1525.0,0.0,1500-1559,1748.0,0.0,0.0,0.0,500.0,
2,3,WN,19393,WN,N8620H,6496,14122,1412202,PIT,12892,1289208,LAX,1621.0,0.0,1600-1659,1840.0,0.0,0.0,0.0,2136.0,
15,2,AA,19805,AA,N919NN,1314,12892,1289208,LAX,13303,1330303,MIA,2308.0,0.0,2300-2359,653.0,0.0,0.0,0.0,2342.0,
11,5,NK,20416,NK,N523NK,860,13204,1320402,MCO,10529,1052906,BDL,1433.0,0.0,1400-1459,1717.0,0.0,0.0,0.0,1050.0,
9,3,NK,20416,NK,N532NK,259,10158,1015804,ACY,11697,1169706,FLL,635.0,0.0,0600-0659,905.0,0.0,0.0,0.0,977.0,
4,5,OH,20397,OH,N502AE,5371,11057,1105703,CLT,10874,1087402,CAK,2000.0,0.0,2000-2059,2110.0,0.0,0.0,0.0,394.0,
24,4,DL,19790,DL,N6711M,1153,13204,1320402,MCO,10397,1039707,ATL,2035.0,0.0,2000-2059,2154.0,0.0,0.0,0.0,404.0,
29,2,AS,19930,AS,N557AS,62,12819,1281902,KTN,14747,1474703,SEA,1334.0,0.0,1300-1359,1620.0,0.0,0.0,0.0,680.0,
22,2,AA,19805,AA,N354PT,29,13303,1330303,MIA,10721,1072102,BOS,1202.0,0.0,1200-1259,1523.0,0.0,0.0,0.0,1258.0,
20,7,YX,20452,YX,N439YX,4589,12953,1295304,LGA,15016,1501606,STL,1140.0,0.0,1100-1159,1334.0,0.0,0.0,0.0,888.0,
17,4,AS,19930,AS,N586AS,661,14771,1477104,SFO,13830,1383002,OGG,707.0,0.0,0700-0759,1107.0,1.0,0.0,0.0,2338.0,
29,2,NK,20416,NK,N630NK,481,13487,1348702,MSP,10397,1039707,ATL,1101.0,0.0,1100-1159,1440.0,0.0,0.0,0.0,907.0,
